Transporte urbano,Urbano por metro,Transporte urbano regular por autobús,Transporte interurbano regular,Interurbano por autobús regular,Interurbano por ferrocarril,AVE,Fecha
252431,101068,151363,112483,57654,50650, ,2011M06
270080,109712,160368,114395,58524,51961, ,2011M05
242144,98694,143450,105265,53576,47786, ,2011M04
275751,113745,162006,116333,59198,53486, ,2011M03
243249,99436,143813,103820,52867,47905, ,2011M02
242895,99819,143076,100795,51285,46538, ,2011M01
244374,101503,142871,103494,53787,46422, ,2010M12
258224,105070,153154,112195,58358,50367, ,2010M11
259865,105032,154833,115248,59641,51571, ,2010M10
236786,95466,141320,109396,58615,46484, ,2010M09
172373,66622,105750,92940,52748,34975, ,2010M08
229406,90679,138727,111267,59497,46739, ,2010M07
249148,96575,152573,111643,59279,48117, ,2010M06
266208,108325,157883,112178,58148,50150, ,2010M05
251357,102914,148442,108299,56046,48461, ,2010M04
269749,110077,159673,114509,59522,51232, ,2010M03
240873,98916,141957,102021,52433,46484, ,2010M02
236736,97727,139010,98372,50256,45168, ,2010M01
244222,101597,142626,102674,52711,46550, ,2009M12
255611,102884,152727,112168,57646,51165, ,2009M11
265889,106141,159748,118066,60978,53242, ,2009M10
237527,93476,144051,109507,58579,46735, ,2009M09
173839,66084,107755,94191,52964,35851, ,2009M08
239824,94997,144827,113209,60343,47806, ,2009M07
254236,99967,154268,115329,60873,50255, ,2009M06
257860,102868,154992,115391,59183,52382, ,2009M05
242420,98039,144381,108433,56303,48204, ,2009M04
266232,107149,159083,117467,61272,52669, ,2009M03
243560,99155,144404,105090,54096,47912, ,2009M02
246607,100672,145935,105383,53008,49571, ,2009M01
248605,103158,145447,105912,54197,48409, ,2008M12
259469,104996,154473,115348,59693,52210, ,2008M11
280608,112986,167622,125586,64945,56823, ,2008M10
241924,95812,146112,115174,61476,49446, ,2008M09
180374,66632,113742,96305,52573,37852, ,2008M08
246505,96716,149788,119918,62837,51974, ,2008M07
256886,103109,153777,117848,60044,53266, ,2008M06
263760,106184,157576,117218,59062,53824, ,2008M05
274044,113480,160564,119727,60649,54923, ,2008M04
245240,102433,142807,114327,56642,53266, ,2008M03
262025,106077,155949,114093,57890,52452, ,2008M02
268603,106426,162177,114147,58826,51780, ,2008M01
246775,100228,146548,105331,53126,48326, ,2007M12
269952,106531,163421,117748,59789,53923, ,2007M11
284545,111806,172738,124818,63561,56721, ,2007M10
240609,94081,146528,112008,58304,48752, ,2007M09
186041,69858,116183,94975,51897,37156, ,2007M08
242976,94526,148450,117773,60885,51343, ,2007M07
265700,104538,161162,119357,61479,53088, ,2007M06
278764,110335,168429,123470,62371,56609, ,2007M05
245426,97114,148311,112351,56267,51705, ,2007M04
284608,113578,171030,124121,62383,57569, ,2007M03
251201,100224,150977,110641,55473,51738, ,2007M02
261191,104773,156418,113403,56367,53730, ,2007M01
247437,98880,148557,108065,54015,50321, ,2006M12
268594,104860,163734,120769,61350,55715, ,2006M11
274666,106164,168502,128023,65845,57989, ,2006M10
243711,90388,153322,115761,60258,50893, ,2006M09
183357,62518,120839,101179,56200,39479, ,2006M08
232798,86297,146501,119068,62806,51275, ,2006M07
263761,99511,164250,121270,63112,53802, ,2006M06
274418,105046,169372,124644,63836,56732, ,2006M05
238854,91579,147275,112009,56992,50904, ,2006M04
277537,110503,167035,120963,62189,55031, ,2006M03
245620,98214,147407,113213,57383,52673, ,2006M02
252603,101218,151385,111533,54899,53528, ,2006M01
247310,97735,149576,110579,56660,50610, ,2005M12
263077,104031,159046,122579,64514,54640, ,2005M11
264887,102239,162647,123936,64744,55322, ,2005M10
240814,90464,150350,117279,62017,50920, ,2005M09
180962,60606,120356,101753,58121,38405, ,2005M08
220452,83646,136806,116524,62835,48907, ,2005M07
261578,97850,163728,122887,65389,53485, ,2005M06
267973,101717,166257,121909,62498,55480, ,2005M05
264093,103044,161049,122609,64073,54913, ,2005M04
252337,98247,154090,116480,60926,51845, ,2005M03
241730,94541,147190,106742,54079,49760, ,2005M02
244454,94562,149893,113616,59080,51693, ,2005M01
238012,95171,142842, , ,48355, ,2004M12
253562,99406,154156, , ,53238, ,2004M11
252700,97716,154984, , ,54097, ,2004M10
230520,89107,141412, , ,49614, ,2004M09
156686,56801,99885, , ,36269, ,2004M08
219726,81389,138338, , ,47835, ,2004M07
243664,92723,150940, , ,51474, ,2004M06
253868,98216,155651, , ,52739, ,2004M05
229442,88970,140472, , ,47852, ,2004M04
258549,103360,155189, , ,52998, ,2004M03
234627,93045,141582, , ,49353, ,2004M02
236854,92767,144087, , ,49897, ,2004M01
236913,93697,143217, , ,48764, ,2003M12
245256,94836,150420, , ,53366, ,2003M11
265702,102999,162703, , ,57589, ,2003M10
219282,82909,136373, , ,48220, ,2003M09
150535,54033,96501, , ,35624, ,2003M08
218215,83613,134602, , ,48912, ,2003M07
233378,89022,144356, , ,49983, ,2003M06
247768,94169,153598, , ,51722, ,2003M05
230684,87618,143066, , ,50298, ,2003M04
247990,95634,152356, , ,54275, ,2003M03
226331,87729,138602, , ,48673, ,2003M02
234411,91008,143403, , ,50465, ,2003M01
226813,88416,138397, , ,48915, ,2002M12
240541,90511,150030, , ,50830, ,2002M11
263708,97458,166250, , ,57037, ,2002M10
213424,76238,137186, , ,47535, ,2002M09
147207,50638,96569, , ,35314, ,2002M08
213590,77866,135724, , ,47903, ,2002M07
221209,82162,139047, , ,48076, ,2002M06
240007,92324,147683, , ,50980, ,2002M05
243355,91188,152167, , ,52883, ,2002M04
221149,82577,138572, , ,49660, ,2002M03
221193,82819,138374, , ,47618, ,2002M02
229897,83308,146589, , ,50014, ,2002M01
221361,81010,140351, , ,44276, ,2001M12
237076,86396,150680, , ,51799, ,2001M11
252674,91834,160840, , ,53331, ,2001M10
206129,72018,134112, , ,44600, ,2001M09
144928,47343,97585, , ,34143, ,2001M08
204576,72235,132341, , ,45329, ,2001M07
231296,81504,149792, , ,48072, ,2001M06
243094,85714,157381, , ,50119, ,2001M05
212260,74793,137467, , ,45206, ,2001M04
251494,90399,161095, , ,51646, ,2001M03
222555,79973,142582, , ,45723, ,2001M02
234983,85101,149881, , ,48094, ,2001M01
229307,80588,148719, , ,43824, ,2000M12
242177,86111,156066, , ,46868, ,2000M11
243241,84950,158291, , ,50868, ,2000M10
207161,70868,136294, , ,45163, ,2000M09
144571,44603,99967, , ,32821, ,2000M08
196590,66795,129794, , ,42355, ,2000M07
228433,77453,150981, , ,46104, ,2000M06
238514,82611,155904, , ,47344, ,2000M05
207867,72285,135582, , ,42205, ,2000M04
249071,87674,161397, , ,47016, ,2000M03
224995,79129,145866, , ,44139, ,2000M02
217406,76304,141102, , ,41824, ,2000M01
222210,73934,148276, , , , ,1999M12
233609,77649,155960, , , , ,1999M11
230454,75715,154739, , , , ,1999M10
202488,65878,136610, , , , ,1999M09
135804,38511,97293, , , , ,1999M08
193830,60846,132984, , , , ,1999M07
218918,70146,148772, , , , ,1999M06
231147,74454,156693, , , , ,1999M05
218287,72939,145348, , , , ,1999M04
233543,74579,158964, , , , ,1999M03
210266,66757,143509, , , , ,1999M02
209048,66057,142991, , , , ,1999M01
218865,70016,148849, , , , ,1998M12
222432,69759,152673, , , , ,1998M11
232530,72141,160389, , , , ,1998M10
195988,61350,134638, , , , ,1998M09
128324,35817,92507, , , , ,1998M08
192035,59224,132811, , , , ,1998M07
214154,65133,149021, , , , ,1998M06
219822,67564,152258, , , , ,1998M05
204947,63622,141325, , , , ,1998M04
229959,70898,159061, , , , ,1998M03
208099,64185,143914, , , , ,1998M02
212487,64735,147752, , , , ,1998M01
220724,66515,154209, , , , ,1997M12
222967,66877,156090, , , , ,1997M11
242655,72110,170545, , , , ,1997M10
191222,55391,135831, , , , ,1997M09
123995,30717,93278, , , , ,1997M08
188324,53473,134851, , , , ,1997M07
206539,58616,147923, , , , ,1997M06
214713,60002,154711, , , , ,1997M05
225237,64725,160512, , , , ,1997M04
204122,57224,146898, , , , ,1997M03
205525,59266,146259, , , , ,1997M02
213814,62607,151207, , , , ,1997M01
212588,62604,149984, , , , ,1996M12
